movieId,tmdbId,id,title,overview,popularity,vote_average,vote_count,release_date,runtime,director,poster_path,genres,keywords,cast
589,280,280,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",101.74155,7.7,4185,1991-07-01,137.0,,,"[""Action"", ""Thriller"", ""Science Fiction""]","[""cyborg"", ""shotgun"", ""post-apocalyptic"", ""dystopia"", ""moral ambiguity"", ""mental institution"", ""violence"", ""fictional war"", ""morphing"", ""nuclear weapons"", ""shape shifter"", ""savior"", ""catch phrase""]",[]
594,408,408,Snow White and the Seven Dwarfs,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",80.171283,6.9,1914,1937-12-20,83.0,,,"[""Fantasy"", ""Animation"", ""Family""]","[""poison"", ""witch"", ""becoming an adult"", ""sadness"", ""queen"", ""attempted murder"", ""dying and death"", ""appearance"", ""princess"", ""candlelight vigil"", ""snow white""]",[]
648,954,954,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",75.290998,6.7,2631,1996-05-22,110.0,,,"[""Adventure"", ""Action"", ""Thriller""]","[""paris"", ""london england"", ""spy"", ""cia"", ""terrorist"", ""secret identity"", ""undercover"", ""arms deal"", ""headquarter"", ""secret base"", ""secret mission"", ""prague"", ""embassy"", ""secret agent"", ""tgv"", ""computer"", ""mission"", ""based on tv series"", ""espionage"", ""agent""]",[]
733,9802,9802,The Rock,"A group of renegade marine commandos seizes a stockpile of chemical weapons and takes over Alcatraz, with 81 tourists as hostages. Their leader demands $100 million to be paid, as restitution to families of Marines who died in covert ops – or he will launch 15 rockets carrying deadly VX gas into the San Francisco Bay area.",51.469576,6.9,1456,1996-06-06,136.0,,,"[""Action"", ""Adventure"", ""Thriller""]","[""san francisco"", ""fbi"", ""gas attack"", ""alcatraz"", ""hostage situation"", ""fbi agent""]",[]
778,627,627,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",63.513324,7.8,2655,1996-02-23,93.0,,,"[""Drama"", ""Crime""]","[""london england"", ""alcohol"", ""sex"", ""based on novel"", ""drug addiction"", ""drug dealer"", ""nightclub"", ""junkie"", ""heroin"", ""cold turkey"", ""modern society"", ""hallucination"", ""friendship"", ""surrealism"", ""dark comedy"", ""stealing"", ""monologue"", ""cult film"", ""recovering drug addict"", ""illegal drugs"", ""drug deal"", ""drug rehabilitation"", ""drug culture"", ""antihero""]",[]
780,602,602,Independence Day,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",60.442593,6.7,3260,1996-06-25,145.0,,,"[""Action"", ""Adventure"", ""Science Fiction""]","[""spacecraft"", ""patriotism"", ""countdown"", ""independence"", ""invasion"", ""war"", ""ufo"", ""extraterrestrial"", ""spaceship"", ""alien"", ""battle""]",[]
858,238,238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",143.659698,8.4,5893,1972-03-14,175.0,,,"[""Drama"", ""Crime""]","[""italy"", ""love at first sight"", ""loss of father"", ""patriarch"", ""organized crime"", ""mafia"", ""lawyer"", ""italian american"", ""crime family"", ""rise to power"", ""mob boss"", ""1940s""]",[]
919,630,630,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",67.417542,7.4,1642,1939-08-15,102.0,,,"[""Adventure"", ""Family"", ""Fantasy""]","[""witch"", ""adolescence"", ""based on novel"", ""secret identity"", ""clock"", ""dream"", ""lion"", ""tornado"", ""scarecrow"", ""musical"", ""crow"", ""music"", ""kansas"", ""classic"", ""imaginary land"", ""cowardliness"", ""sepia color""]",[]
920,770,770,Gone with the Wind,An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.,48.98255,7.7,970,1939-12-15,238.0,,,"[""Drama"", ""Romance"", ""War""]","[""life and death"", ""civil war"", ""southern usa"", ""loss of child"", ""marriage proposal"", ""atlanta"", ""luxury"", ""plantation"", ""typhus"", ""business woman"", ""marriage crisis""]",[]
924,62,62,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",86.201184,7.9,2998,1968-04-10,149.0,,,"[""Science Fiction"", ""Mystery"", ""Adventure""]","[""moon"", ""jupiter"", ""artificial intelligence"", ""man vs machine"", ""technology"", ""super computer"", ""human being"", ""space travel"", ""space mission"", ""moon base"", ""astronaut"", ""evolution"", ""monolith"", ""space station""]",[]
1028,433,433,Mary Poppins,"The movie combines a diverting story, songs, color and sequences of live action blended with the movements of animated figures. Mary Poppins is a kind of Super-nanny who flies in with her umbrella in response to the request of the Banks children and proceeds to put things right with the aid of her rather extraordinary magical powers before flying off again.",59.961523,7.4,1183,1964-08-27,139.0,,,"[""Comedy"", ""Family"", ""Fantasy""]","[""london england"", ""dancing"", ""parents kids relationship"", ""bank"", ""brother sister relationship"", ""famous score"", ""confidence"", ""nanny"", ""laughing"", ""magic"", ""chimney sweeper"", ""musical"", ""live action and animation""]",[]
1036,562,562,Die Hard,"NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",66.169628,7.5,3948,1988-07-15,131.0,,,"[""Action"", ""Thriller""]","[""helicopter"", ""journalist"", ""based on novel"", ""terrorist"", ""skyscraper"", ""christmas party"", ""s.w.a.t."", ""hostage"", ""kidnapping"", ""vault"", ""fistfight"", ""murder"", ""heist"", ""shootout"", ""los angeles"", ""one man army"", ""explosion"", ""violence"", ""fbi agent"", ""walkie talkie"", ""christmas eve"", ""elevator shaft"", ""one night"", ""action hero""]",[]
1089,500,500,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",66.925866,8.0,3697,1992-09-02,99.0,,,"[""Crime"", ""Thriller""]","[""traitor"", ""jewelry"", ""psychopath"", ""thief"", ""heist"", ""betrayal"", ""mystery"", ""escape"", ""gang"", ""plan gone wrong"", ""warehouse"", ""ensemble cast"", ""all male cast"", ""told in flashback"", ""heist gone wrong"", ""foreshadowing"", ""rendezvous"", ""iconic"", ""set in one room"", ""uneasy alliance"", ""rag tag group""]",[]
1090,792,792,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",49.802914,7.5,1205,1986-12-18,120.0,,,"[""Drama"", ""War"", ""Action""]","[""famous score"", ""hero"", ""mine"", ""vietnam war"", ""village"", ""gore"", ""jungle"", ""f word"", ""soldier"", ""battle"", ""combat"", ""1960s""]",[]
1097,601,601,E.T. the Extra-Terrestrial,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",56.105798,7.3,3269,1982-04-03,115.0,,,"[""Science Fiction"", ""Adventure"", ""Family"", ""Fantasy""]","[""farewell"", ""homesickness"", ""nasa"", ""extraterrestrial technology"", ""operation"", ""space marine"", ""loss of father"", ""hiding place"", ""riding a bicycle"", ""flying saucer"", ""prosecution"", ""halloween"", ""flowerpot"", ""finger"", ""single""]",[]
1101,744,744,Top Gun,"For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.",58.900647,6.7,1698,1986-05-16,110.0,,,"[""Action"", ""Romance"", ""War""]","[""lovesickness"", ""loss of lover"", ""fighter pilot"", ""self-discovery"", ""pilot"", ""ejection seat"", ""dying and death"", ""officer"", ""training camp"", ""air force"", ""airplane"", ""dangerous"", ""battle assignment"", ""u.s. navy"", ""hostility"", ""secret love"", ""cowardliness"", ""pilot school""]",[]
1136,762,762,Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",64.782984,7.8,1708,1975-03-13,91.0,,,"[""Adventure"", ""Comedy"", ""Fantasy""]","[""holy grail"", ""monk"", ""scotland yard"", ""swordplay"", ""camelot"", ""round table"", ""chapter"", ""aggression by animal"", ""knight"", ""king arthur"", ""wedding reception"", ""midnight movie"", ""monty python"", ""knights of the round table"", ""anarchic comedy""]",[]
1193,510,510,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",127.525581,8.2,2919,1975-11-18,133.0,,,"[""Drama""]","[""individual"", ""rebel"", ""self-destruction"", ""wheelchair"", ""lunatic asylum"", ""dying and death"", ""rage and hate"", ""freedom"", ""insanity"", ""basic rights and human rights"", ""psychiatrist""]",[]
1196,1891,1891,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",78.51783,8.2,5879,1980-05-17,124.0,,,"[""Adventure"", ""Action"", ""Science Fiction""]","[""rebel"", ""android"", ""asteroid"", ""space battle"", ""snow storm"", ""space colony"", ""spaceship"", ""lightsaber"", ""jedi"", ""good vs evil"", ""rebellion"", ""the force"", ""space opera"", ""stormtrooper"", ""wookie"", ""jedi master"", ""jedi training"", ""droid""]",[]
1198,85,85,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",68.159596,7.7,3854,1981-06-12,115.0,,,"[""Adventure"", ""Action""]","[""saving the world"", ""riddle"", ""nepal"", ""himalaya"", ""cairo"", ""moses"", ""egypt"", ""whip"", ""treasure"", ""medallion"", ""leather jacket"", ""nazis"", ""hat"", ""mediterranean"", ""ark of the covenant"", ""ten commandments"", ""treasure hunt"", ""excavation"", ""swastika"", ""archaeologist"", ""indiana jones"", ""archeology\u00a0""]",[]
1200,679,679,Aliens,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",67.66094,7.7,3220,1986-07-18,137.0,,,"[""Horror"", ""Action"", ""Thriller"", ""Science Fiction""]","[""android"", ""extraterrestrial technology"", ""space marine"", ""spaceman"", ""cryogenics"", ""vacuum"", ""space colony"", ""warrior woman"", ""settler"", ""space travel"", ""colony"", ""alien"", ""xenomorph""]",[]
1201,429,429,"The Good, the Bad and the Ugly","While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",88.377076,8.1,2311,1966-12-23,161.0,,,"[""Western""]","[""bounty hunter"", ""refugee"", ""gold"", ""anti hero"", ""gallows"", ""hitman"", ""army"", ""outlaw"", ""shootout"", ""moral ambiguity"", ""spaghetti western""]",[]
1203,389,389,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",59.259204,8.2,2078,1957-03-25,96.0,,,"[""Drama""]","[""judge"", ""jurors"", ""sultriness"", ""death penalty"", ""father murder"", ""puerto rican"", ""anonymity"", ""court case"", ""heat"", ""group"", ""class"", ""innocence"", ""court"", ""courtroom""]",[]
1208,28,28,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",49.973462,8.0,2055,1979-08-15,153.0,,,"[""Drama"", ""War""]","[""guerrilla"", ""river"", ""vietnam"", ""vietcong"", ""cambodia"", ""army"", ""insanity"", ""tribe"", ""green beret"", ""jungle"", ""apocalypse"", ""death"", ""napalm""]",[]
1209,335,335,Once Upon a Time in the West,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,49.333137,8.1,1128,1968-12-21,175.0,,,"[""Western""]","[""showdown"", ""bounty"", ""bounty hunter"", ""loss of brother"", ""sadness"", ""blackmail"", ""harmonica"", ""anti hero"", ""auction"", ""dying and death"", ""peasant"", ""insanity"", ""spaghetti western""]",[]
